Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,22,1,-,-,1
ACQUAPPESA,18,1,-,-,5
ACRI,932,17,1,2,14
AIELLO CALABRO,15,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,48,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,276,3,-,2,21
ALTRA ASP,93,5,-,-,5
ALTRA REGIONE,219,5,-,1,47
AMANTEA,306,6,-,1,30
AMENDOLARA,27,-,-,-,-
APRIGLIANO,62,8,-,-,1
BELMONTE CALABRO,43,-,-,1,1
BELSITO,31,1,-,-,-
BELVEDERE MARITTIMO,268,4,-,1,34
BIANCHI,27,1,-,-,-
BISIGNANO,563,10,-,-,17
BOCCHIGLIERO,41,5,-,-,4
BONIFATI,39,1,-,-,13
BUONVICINO,39,1,-,-,14
CALOPEZZATI,32,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,128,3,-,-,-
CANNA,4,-,-,-,1
CARIATI,249,7,-,-,12
CAROLEI,65,-,-,-,7
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,319,13,-,-,19
CASSANO ALLO IONIO,1011,20,1,1,54
CASTIGLIONE COSENTINO,112,3,-,-,6
CASTROLIBERO,300,5,-,-,13
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,662,14,-,2,26
CELICO,183,7,-,-,4
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,44,2,-,-,-
CERISANO,68,-,-,-,-
CERVICATI,45,1,-,-,1
CERZETO,62,-,-,-,6
CETRARO,257,5,-,-,18
CIVITA,13,1,-,-,2
CLETO,21,1,-,1,1
COLOSIMI,33,-,-,-,-
CORIGLIANO-ROSSANO,4578,100,1,10,311
COSENZA,2507,56,1,4,101
CROPALATI,17,-,-,-,-
CROSIA,443,8,-,-,18
DIAMANTE,90,2,-,1,23
DIPIGNANO,146,4,-,1,3
DOMANICO,53,-,-,-,-
FAGNANO CASTELLO,59,3,-,-,2
FALCONARA ALBANESE,26,1,-,-,1
FIGLINE VEGLIATURO,43,-,-,-,1
FIRMO,30,1,-,-,10
FIUMEFREDDO BRUZIO,20,-,-,-,3
FRANCAVILLA MARITTIMA,100,4,-,1,1
FRASCINETO,65,2,-,-,-
FUSCALDO,245,1,-,-,23
GRIMALDI,39,-,-,-,1
GRISOLIA,37,-,-,1,11
GUARDIA PIEMONTESE,53,1,-,-,3
LAGO,60,1,-,-,1
LAINO BORGO,65,3,-,-,8
