Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,23,-,-,-,-
ACQUAPPESA,48,-,-,-,-
ACRI,1269,20,-,-,-
AIELLO CALABRO,33,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,52,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,35,-,-,-,-
ALTOMONTE,304,-,-,-,-
ALTRA ASP,205,7,-,-,-
ALTRA REGIONE,352,8,-,-,-
AMANTEA,668,14,-,-,-
AMENDOLARA,53,-,-,-,-
APRIGLIANO,101,8,-,-,-
BELMONTE CALABRO,105,-,-,-,-
BELSITO,37,-,-,-,-
BELVEDERE MARITTIMO,381,-,-,-,-
BIANCHI,52,-,-,-,-
BISIGNANO,795,14,-,-,-
BOCCHIGLIERO,104,6,-,-,-
BONIFATI,61,-,-,-,-
BUONVICINO,71,-,-,-,-
CALOPEZZATI,61,-,-,-,-
CALOVETO,72,-,-,-,-
CAMPANA,217,-,-,-,-
CANNA,12,-,-,-,-
CARIATI,479,10,-,-,-
CAROLEI,109,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,532,16,-,-,-
CASSANO ALLO IONIO,1573,25,-,-,-
CASTIGLIONE COSENTINO,164,-,-,-,-
CASTROLIBERO,500,8,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1153,20,-,-,-
CELICO,233,7,-,-,-
CELLARA,10,-,-,-,-
CERCHIARA DI CALABRIA,75,-,-,-,-
CERISANO,127,-,-,-,-
CERVICATI,51,-,-,-,-
CERZETO,81,-,-,-,-
CETRARO,473,13,-,-,-
CIVITA,25,-,-,-,-
CLETO,45,-,-,-,-
COLOSIMI,43,-,-,-,-
CORIGLIANO-ROSSANO,6377,121,-,-,-
COSENZA,4214,74,-,-,-
CROPALATI,29,-,-,-,-
CROSIA,653,11,-,-,-
DIAMANTE,146,-,-,-,-
DIPIGNANO,211,-,-,-,-
DOMANICO,60,-,-,-,-
FAGNANO CASTELLO,102,-,-,-,-
FALCONARA ALBANESE,68,-,-,-,-
