Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,22,1,-,-,-
ACQUAPPESA,20,1,-,-,3
ACRI,936,18,1,2,2
AIELLO CALABRO,15,-,-,-,-
AIETA,1,-,-,-,1
ALBIDONA,48,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,277,3,-,1,3
ALTRA ASP,95,5,-,-,5
ALTRA REGIONE,234,6,1,3,22
AMANTEA,312,6,-,1,17
AMENDOLARA,27,-,-,-,-
APRIGLIANO,64,8,-,-,3
BELMONTE CALABRO,43,-,-,1,-
BELSITO,32,1,-,-,1
BELVEDERE MARITTIMO,280,4,-,-,44
BIANCHI,27,1,-,-,-
BISIGNANO,581,10,-,2,18
BOCCHIGLIERO,72,6,-,-,29
BONIFATI,40,1,-,-,13
BUONVICINO,44,1,-,-,19
CALOPEZZATI,32,-,-,-,-
CALOVETO,53,-,-,-,1
CAMPANA,131,3,-,-,3
CANNA,4,-,-,-,-
CARIATI,257,7,-,-,12
CAROLEI,67,-,-,-,5
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,323,13,-,1,11
CASSANO ALLO IONIO,1040,21,-,3,22
CASTIGLIONE COSENTINO,126,3,-,-,20
CASTROLIBERO,301,5,-,-,6
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,674,14,-,1,9
CELICO,183,7,-,-,2
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,48,2,-,-,2
CERISANO,69,-,-,-,1
CERVICATI,49,1,-,-,5
CERZETO,67,-,-,-,8
CETRARO,265,5,-,-,20
CIVITA,16,1,-,-,3
CLETO,21,1,-,1,1
COLOSIMI,33,-,-,-,-
CORIGLIANO-ROSSANO,4760,104,-,8,184
COSENZA,2546,56,1,4,79
CROPALATI,25,1,-,-,7
CROSIA,471,8,-,-,27
DIAMANTE,93,2,-,-,16
DIPIGNANO,150,4,-,1,4
DOMANICO,53,-,-,-,-
FAGNANO CASTELLO,62,3,-,-,3
FALCONARA ALBANESE,26,1,-,-,-
FIGLINE VEGLIATURO,43,-,-,-,-
FIRMO,31,1,-,-,2
FIUMEFREDDO BRUZIO,22,-,-,-,5
FRANCAVILLA MARITTIMA,103,4,-,-,-
FRASCINETO,65,2,-,-,-
FUSCALDO,248,1,-,-,20
GRIMALDI,39,-,-,-,-
GRISOLIA,42,-,-,1,16
GUARDIA PIEMONTESE,53,1,-,-,-
LAGO,60,1,-,-,-
LAINO BORGO,65,3,-,-,-
LAINO CASTELLO,16,-,-,-,4
LAPPANO,28,1,-,-,-
LATTARICO,168,4,-,-,-
LONGOBARDI,61,4,-,2,42
LONGOBUCCO,85,1,-,-,2
LUNGRO,66,5,-,2,1
LUZZI,379,8,-,-,22
MAIERA',24,-,-,-,1
MALITO,25,1,-,-,-
MALVITO,50,2,-,-,4
MANDATORICCIO,114,2,-,-,3
MANGONE,99,2,-,-,3
MARANO MARCHESATO,116,5,-,-,3
MARANO PRINCIPATO,121,-,-,-,3
MARZI,36,2,-,-,-
MENDICINO,339,2,-,1,16
MONGRASSANO,78,4,-,-,3
MONTALTO UFFUGO,808,11,-,-,36
MONTEGIORDANO,22,-,-,-,-
MORANO CALABRO,142,8,-,-,10
MORMANNO,124,7,-,-,-
MOTTAFOLLONE,23,1,-,-,1
NOCARA,16,-,-,-,-
ORIOLO,52,2,-,-,6
ORSOMARSO,6,-,-,-,1
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,349,9,-,1,19
PAPASIDERO,6,-,-,-,3
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,47,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,178,4,-,1,31
RENDE,1459,28,-,-,50
ROCCA IMPERIALE,147,1,-,-,2
ROGGIANO GRAVINA,261,7,1,1,17
ROGLIANO,196,5,-,-,-
ROSE,234,6,-,-,5
ROSETO CAPO SPULICO,71,1,-,-,4
ROTA GRECA,43,3,-,-,2
ROVITO,111,1,-,-,1
SAN BASILE,13,-,-,-,-
SAN BENEDETTO ULLANO,38,2,-,-,11
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,48,-,-,-,1
SAN DONATO DI NINEA,41,5,-,-,1
SAN FILI,57,1,-,-,1
SAN GIORGIO ALBANESE,29,2,-,1,-
SAN GIOVANNI IN FIORE,948,25,-,-,32
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,145,-,-,-,9
SAN LUCIDO,176,6,-,-,6
SAN MARCO ARGENTANO,172,4,-,-,7
SAN MARTINO DI FINITA,68,2,-,-,4
SAN NICOLA ARCELLA,42,1,-,-,2
SAN PIETRO IN AMANTEA,2,-,-,-,1
SAN PIETRO IN GUARANO,119,5,-,-,2
SAN SOSTI,88,6,-,-,-
SAN VINCENZO LA COSTA,43,4,-,-,-
SANGINETO,35,-,-,-,6
SANTA CATERINA ALBANESE,25,-,-,-,1
SANTA DOMENICA TALAO,18,-,-,-,2
SANTA MARIA DEL CEDRO,135,4,-,-,25
SANTA SOFIA D'EPIRO,84,3,-,-,-
SANT'AGATA DI ESARO,67,2,-,-,1
SANTO STEFANO DI ROGLIANO,83,1,-,-,-
SARACENA,51,3,-,-,4
SCALA COELI,21,5,-,-,-
SCALEA,267,3,-,2,19
SCIGLIANO,9,-,-,-,-
SERRA D'AIELLO,19,-,-,-,13
SPEZZANO ALBANESE,269,9,-,1,3
SPEZZANO DELLA SILA,200,11,-,-,-
TARSIA,39,1,-,-,-
TERRANOVA DA SIBARI,437,10,-,-,5
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,273,14,-,-,13
TORTORA,214,3,-,-,17
TREBISACCE,217,7,-,-,12
VACCARIZZO ALBANESE,35,2,-,-,-
VERBICARO,102,4,-,-,-
