Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,32,-,-,-,-
ACQUAPPESA,53,-,-,-,-
ACRI,1380,23,-,-,-
AIELLO CALABRO,44,-,-,-,-
AIETA,6,-,-,-,-
ALBIDONA,56,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,42,-,-,-,-
ALTOMONTE,325,-,-,-,-
ALTRA ASP,328,7,-,-,-
ALTRA REGIONE,423,10,-,-,-
AMANTEA,809,16,-,-,-
AMENDOLARA,61,-,-,-,-
APRIGLIANO,136,8,-,-,-
BELMONTE CALABRO,122,-,-,-,-
BELSITO,52,-,-,-,-
BELVEDERE MARITTIMO,425,7,-,-,-
BIANCHI,69,-,-,-,-
BISIGNANO,874,14,-,-,-
BOCCHIGLIERO,108,7,-,-,-
BONIFATI,77,-,-,-,-
BUONVICINO,74,-,-,-,-
CALOPEZZATI,63,-,-,-,-
CALOVETO,78,-,-,-,-
CAMPANA,219,6,-,-,-
CANNA,23,-,-,-,-
CARIATI,507,11,-,-,-
CAROLEI,135,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,635,16,-,-,-
CASSANO ALLO IONIO,1746,28,-,-,-
CASTIGLIONE COSENTINO,191,-,-,-,-
CASTROLIBERO,664,8,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1278,21,-,-,-
CELICO,264,7,-,-,-
CELLARA,13,-,-,-,-
CERCHIARA DI CALABRIA,90,-,-,-,-
CERISANO,173,-,-,-,-
CERVICATI,55,-,-,-,-
CERZETO,91,-,-,-,-
CETRARO,532,14,-,-,-
CIVITA,25,-,-,-,-
CLETO,57,-,-,-,-
COLOSIMI,64,-,-,-,-
CORIGLIANO-ROSSANO,7474,137,-,-,-
COSENZA,5576,92,-,-,-
CROPALATI,31,-,-,-,-
CROSIA,761,11,-,-,-
DIAMANTE,167,-,-,-,-
DIPIGNANO,309,6,-,-,-
DOMANICO,65,-,-,-,-
FAGNANO CASTELLO,113,-,-,-,-
FALCONARA ALBANESE,89,-,-,-,-
FIGLINE VEGLIATURO,96,-,-,-,-
FIRMO,43,-,-,-,-
FIUMEFREDDO BRUZIO,138,-,-,-,-
FRANCAVILLA MARITTIMA,164,-,-,-,-
FRASCINETO,88,-,-,-,-
FUSCALDO,495,-,-,-,-
GRIMALDI,84,-,-,-,-
GRISOLIA,97,-,-,-,-
GUARDIA PIEMONTESE,111,-,-,-,-
LAGO,103,-,-,-,-
LAINO BORGO,122,-,-,-,-
LAINO CASTELLO,49,-,-,-,-
LAPPANO,76,-,-,-,-
LATTARICO,297,-,-,-,-
LONGOBARDI,171,15,-,-,-
LONGOBUCCO,196,-,-,-,-
LUNGRO,85,-,-,-,-
