Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,17,1,-,-,4
ACRI,891,16,-,2,40
AIELLO CALABRO,14,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,47,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,240,3,-,1,16
ALTRA ASP,88,5,-,-,2
ALTRA REGIONE,189,4,-,3,76
AMANTEA,269,6,-,-,23
AMENDOLARA,27,-,-,-,5
APRIGLIANO,61,8,-,-,-
BELMONTE CALABRO,41,-,-,-,3
BELSITO,31,1,-,-,1
BELVEDERE MARITTIMO,233,4,-,-,6
BIANCHI,27,1,-,-,-
BISIGNANO,550,10,-,-,19
BOCCHIGLIERO,38,5,-,-,2
BONIFATI,26,1,-,-,1
BUONVICINO,25,1,-,-,1
CALOPEZZATI,32,-,-,-,2
CALOVETO,52,-,-,-,-
CAMPANA,128,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,240,6,-,1,7
CAROLEI,58,-,-,-,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,295,13,-,-,6
CASSANO ALLO IONIO,902,18,-,2,28
CASTIGLIONE COSENTINO,106,3,-,-,-
CASTROLIBERO,287,5,-,-,4
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,621,13,-,2,12
CELICO,179,6,-,-,4
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,44,2,-,-,2
CERISANO,68,-,-,-,-
CERVICATI,45,1,-,-,-
CERZETO,55,-,-,-,-
CETRARO,244,5,-,-,5
CIVITA,11,1,-,-,1
CLETO,19,1,-,-,-
COLOSIMI,33,-,-,1,2
CORIGLIANO-ROSSANO,4204,98,1,8,106
COSENZA,2404,56,-,2,59
CROPALATI,17,-,-,-,-
CROSIA,422,8,-,-,2
DIAMANTE,70,2,-,-,5
DIPIGNANO,146,4,-,-,8
DOMANICO,53,-,-,-,-
FAGNANO CASTELLO,54,3,-,-,-
FALCONARA ALBANESE,25,1,-,-,2
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,18,1,-,-,5
FIUMEFREDDO BRUZIO,17,-,-,-,-
FRANCAVILLA MARITTIMA,98,4,-,-,12
FRASCINETO,65,2,-,-,-
FUSCALDO,224,-,-,-,3
GRIMALDI,38,-,-,-,-
GRISOLIA,25,-,-,-,3
GUARDIA PIEMONTESE,52,1,-,-,2
LAGO,59,1,-,-,11
LAINO BORGO,61,3,-,-,5
LAINO CASTELLO,12,-,-,-,5
LAPPANO,28,1,-,-,5
LATTARICO,160,4,-,1,9
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,60,5,-,1,3
LUZZI,340,7,-,-,3
MAIERA',23,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,34,2,-,-,3
MANDATORICCIO,110,2,-,-,1
MANGONE,92,2,-,-,-
MARANO MARCHESATO,113,5,-,-,2
MARANO PRINCIPATO,116,-,-,-,12
MARZI,35,2,-,-,-
MENDICINO,314,1,-,-,13
MONGRASSANO,72,2,-,2,11
MONTALTO UFFUGO,738,10,-,-,16
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,130,5,2,2,2
MORMANNO,124,7,-,-,4
MOTTAFOLLONE,20,1,-,-,3
NOCARA,16,-,-,-,-
ORIOLO,43,2,-,-,-
ORSOMARSO,5,-,-,1,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,307,9,-,1,5
PAPASIDERO,3,-,-,-,2
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,47,2,-,-,1
PLATACI,2,-,-,-,-
PRAIA A MARE,142,4,-,1,17
RENDE,1390,27,-,1,39
ROCCA IMPERIALE,142,1,-,-,-
ROGGIANO GRAVINA,207,6,-,-,11
ROGLIANO,196,5,-,-,-
ROSE,227,5,-,1,4
ROSETO CAPO SPULICO,66,1,-,-,17
ROTA GRECA,37,3,-,-,2
ROVITO,110,1,-,-,1
SAN BASILE,13,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,45,-,-,-,3
SAN DONATO DI NINEA,29,5,-,-,1
SAN FILI,56,1,-,-,1
SAN GIORGIO ALBANESE,28,2,-,-,1
SAN GIOVANNI IN FIORE,893,25,-,-,19
SAN LORENZO BELLIZZI,1,-,-,-,-
