Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,26,-,-,-,-
ACQUAPPESA,52,-,-,-,-
ACRI,1309,21,-,-,-
AIELLO CALABRO,41,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,55,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,39,-,-,-,-
ALTOMONTE,311,-,-,-,-
ALTRA ASP,232,7,-,-,-
ALTRA REGIONE,379,9,-,-,-
AMANTEA,744,16,-,-,-
AMENDOLARA,60,-,-,-,-
APRIGLIANO,133,8,-,-,-
BELMONTE CALABRO,120,-,-,-,-
BELSITO,48,-,-,-,-
BELVEDERE MARITTIMO,409,6,-,-,-
BIANCHI,60,-,-,-,-
BISIGNANO,829,14,-,-,-
BOCCHIGLIERO,107,7,-,-,-
BONIFATI,70,-,-,-,-
BUONVICINO,73,-,-,-,-
CALOPEZZATI,61,-,-,-,-
CALOVETO,74,-,-,-,-
CAMPANA,219,-,-,-,-
CANNA,19,-,-,-,-
CARIATI,491,11,-,-,-
CAROLEI,123,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,597,16,-,-,-
CASSANO ALLO IONIO,1681,27,-,-,-
CASTIGLIONE COSENTINO,172,-,-,-,-
CASTROLIBERO,564,8,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1197,21,-,-,-
CELICO,249,7,-,-,-
CELLARA,10,-,-,-,-
CERCHIARA DI CALABRIA,81,-,-,-,-
CERISANO,150,-,-,-,-
CERVICATI,52,-,-,-,-
CERZETO,86,-,-,-,-
CETRARO,514,13,-,-,-
CIVITA,25,-,-,-,-
CLETO,53,-,-,-,-
COLOSIMI,56,-,-,-,-
CORIGLIANO-ROSSANO,6879,134,-,-,-
COSENZA,4980,88,-,-,-
CROPALATI,31,-,-,-,-
CROSIA,667,11,-,-,-
DIAMANTE,160,-,-,-,-
DIPIGNANO,246,6,-,-,-
DOMANICO,61,-,-,-,-
FAGNANO CASTELLO,109,-,-,-,-
FALCONARA ALBANESE,85,-,-,-,-
FIGLINE VEGLIATURO,94,-,-,-,-
FIRMO,39,-,-,-,-
FIUMEFREDDO BRUZIO,122,-,-,-,-
FRANCAVILLA MARITTIMA,159,-,-,-,-
FRASCINETO,86,-,-,-,-
FUSCALDO,375,-,-,-,-
GRIMALDI,71,-,-,-,-
GRISOLIA,94,-,-,-,-
GUARDIA PIEMONTESE,106,-,-,-,-
LAGO,98,-,-,-,-
LAINO BORGO,98,-,-,-,-
LAINO CASTELLO,39,-,-,-,-
LAPPANO,63,-,-,-,-
LATTARICO,284,-,-,-,-
LONGOBARDI,163,15,-,-,-
LONGOBUCCO,172,-,-,-,-
LUNGRO,85,-,-,-,-
LUZZI,698,13,-,-,-
MAIERA',44,-,-,-,-
MALITO,29,-,-,-,-
MALVITO,83,-,-,-,-
MANDATORICCIO,185,-,-,-,-
MANGONE,174,-,-,-,-
MARANO MARCHESATO,210,8,-,-,-
MARANO PRINCIPATO,180,-,-,-,-
MARZI,70,-,-,-,-
MENDICINO,670,-,-,-,-
MONGRASSANO,110,-,-,-,-
MONTALTO UFFUGO,1486,16,-,-,-
MONTEGIORDANO,61,-,-,-,-
MORANO CALABRO,229,8,-,-,-
MORMANNO,136,7,-,-,-
MOTTAFOLLONE,27,-,-,-,-
NOCARA,23,-,-,-,-
ORIOLO,72,-,-,-,-
ORSOMARSO,43,-,-,-,-
PALUDI,34,-,-,-,-
PANETTIERI,16,-,-,-,-
PAOLA,726,15,-,-,-
PAPASIDERO,8,-,-,-,-
PARENTI,83,-,-,-,-
PATERNO CALABRO,141,-,-,-,-
PEDIVIGLIANO,81,-,-,-,-
PIANE CRATI,81,-,-,-,-
PIETRAFITTA,35,-,-,-,-
PIETRAPAOLA,76,-,-,-,-
PLATACI,32,-,-,-,-
PRAIA A MARE,283,6,-,-,-
RENDE,2602,37,-,-,-
ROCCA IMPERIALE,216,-,-,-,-
ROGGIANO GRAVINA,385,10,-,-,-
ROGLIANO,362,-,-,-,-
ROSE,397,7,-,-,-
ROSETO CAPO SPULICO,117,-,-,-,-
ROTA GRECA,57,-,-,-,-
ROVITO,232,-,-,-,-
SAN BASILE,18,-,-,-,-
SAN BENEDETTO ULLANO,82,-,-,-,-
SAN COSMO ALBANESE,65,6,-,-,-
SAN DEMETRIO CORONE,115,-,-,-,-
SAN DONATO DI NINEA,49,-,-,-,-
SAN FILI,109,-,-,-,-
