Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,17,1,-,-,4
ACRI,892,16,-,2,37
AIELLO CALABRO,14,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,47,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,245,3,-,2,9
ALTRA ASP,90,5,-,-,4
ALTRA REGIONE,193,4,-,3,75
AMANTEA,270,6,-,1,23
AMENDOLARA,27,-,-,-,5
APRIGLIANO,61,8,-,-,-
BELMONTE CALABRO,41,-,-,-,3
BELSITO,31,1,-,-,-
BELVEDERE MARITTIMO,235,4,-,1,6
BIANCHI,27,1,-,-,-
BISIGNANO,554,10,-,-,21
BOCCHIGLIERO,38,5,-,-,2
BONIFATI,26,1,-,-,1
BUONVICINO,25,1,-,-,1
CALOPEZZATI,32,-,-,-,2
CALOVETO,52,-,-,-,-
CAMPANA,128,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,240,7,-,-,7
CAROLEI,60,-,-,-,3
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,300,13,-,1,10
CASSANO ALLO IONIO,936,18,1,2,56
CASTIGLIONE COSENTINO,106,3,-,-,-
CASTROLIBERO,290,5,-,-,6
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,630,13,-,2,19
CELICO,180,6,-,1,3
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,44,2,-,-,1
CERISANO,68,-,-,-,-
CERVICATI,45,1,-,-,-
CERZETO,57,-,-,-,2
CETRARO,244,5,-,-,5
CIVITA,12,1,-,-,2
CLETO,19,1,-,-,-
COLOSIMI,33,-,-,1,2
CORIGLIANO-ROSSANO,4281,100,-,5,167
COSENZA,2429,56,-,2,70
CROPALATI,17,-,-,-,-
CROSIA,423,8,-,-,3
DIAMANTE,76,2,-,1,10
DIPIGNANO,145,4,-,-,6
DOMANICO,53,-,-,-,-
FAGNANO CASTELLO,54,3,-,-,-
FALCONARA ALBANESE,25,1,-,-,2
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,19,1,-,-,1
FIUMEFREDDO BRUZIO,17,-,-,-,-
FRANCAVILLA MARITTIMA,99,4,-,-,8
FRASCINETO,65,2,-,-,-
FUSCALDO,224,-,-,-,3
GRIMALDI,38,-,-,-,-
GRISOLIA,25,-,-,-,3
GUARDIA PIEMONTESE,53,1,-,-,3
LAGO,59,1,-,-,11
LAINO BORGO,62,3,-,-,6
LAINO CASTELLO,12,-,-,-,5
LAPPANO,28,1,-,-,5
LATTARICO,163,4,-,1,10
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,60,5,-,1,3
LUZZI,346,7,-,1,8
MAIERA',23,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,35,2,-,-,4
MANDATORICCIO,110,2,-,-,1
MANGONE,94,2,-,-,2
MARANO MARCHESATO,113,5,-,-,2
MARANO PRINCIPATO,116,-,-,-,12
MARZI,35,2,-,-,-
MENDICINO,316,1,-,-,12
MONGRASSANO,72,2,-,2,11
MONTALTO UFFUGO,740,10,-,1,17
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,129,5,1,1,2
MORMANNO,124,7,-,-,2
MOTTAFOLLONE,21,1,-,-,4
NOCARA,16,-,-,-,-
ORIOLO,43,2,-,-,-
ORSOMARSO,5,-,-,1,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,311,9,1,3,6
PAPASIDERO,3,-,-,-,2
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,47,2,-,-,1
PLATACI,2,-,-,-,-
PRAIA A MARE,144,4,-,1,19
RENDE,1401,27,-,1,46
ROCCA IMPERIALE,142,1,-,-,-
ROGGIANO GRAVINA,207,6,-,-,8
ROGLIANO,196,5,-,-,-
ROSE,227,6,-,-,4
ROSETO CAPO SPULICO,66,1,-,-,11
ROTA GRECA,37,3,-,-,2
ROVITO,110,1,-,-,-
SAN BASILE,13,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,45,-,-,-,3
SAN DONATO DI NINEA,29,5,-,-,1
SAN FILI,56,1,-,-,1
SAN GIORGIO ALBANESE,28,2,-,-,-
SAN GIOVANNI IN FIORE,899,25,-,-,25
SAN LORENZO BELLIZZI,1,-,-,-,-
