Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,105,-,-,-,-
ACQUAPPESA,136,-,-,-,-
ACRI,1807,25,-,-,-
AIELLO CALABRO,94,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,130,-,-,-,-
ALESSANDRIA DEL CARRETTO,7,-,-,-,-
ALTILIA,79,-,-,-,-
ALTOMONTE,497,-,-,-,-
ALTRA ASP,824,9,-,-,-
ALTRA REGIONE,590,11,-,-,-
AMANTEA,1676,18,-,-,-
AMENDOLARA,117,-,-,-,-
APRIGLIANO,337,8,-,-,-
BELMONTE CALABRO,166,-,-,-,-
BELSITO,97,-,-,-,-
BELVEDERE MARITTIMO,683,7,-,-,-
BIANCHI,154,-,-,-,-
BISIGNANO,1255,17,-,-,-
BOCCHIGLIERO,113,7,-,-,-
BONIFATI,175,-,-,-,-
BUONVICINO,113,-,-,-,-
CALOPEZZATI,113,-,-,-,-
CALOVETO,160,-,-,-,-
CAMPANA,228,6,-,-,-
CANNA,44,-,-,-,-
CARIATI,629,12,-,-,-
CAROLEI,335,-,-,-,-
CARPANZANO,8,-,-,-,-
CASALI DEL MANCO,1312,18,-,-,-
CASSANO ALLO IONIO,2103,29,-,-,-
CASTIGLIONE COSENTINO,326,-,-,-,-
CASTROLIBERO,1264,12,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1906,23,-,-,-
CELICO,368,7,-,-,-
CELLARA,55,-,-,-,-
CERCHIARA DI CALABRIA,168,-,-,-,-
CERISANO,370,-,-,-,-
CERVICATI,85,-,-,-,-
CERZETO,165,-,-,-,-
CETRARO,1056,16,-,-,-
CIVITA,34,-,-,-,-
CLETO,96,-,-,-,-
COLOSIMI,148,-,-,-,-
CORIGLIANO-ROSSANO,10833,144,-,-,-
COSENZA,9280,108,-,-,-
CROPALATI,103,-,-,-,-
CROSIA,1216,13,-,-,-
DIAMANTE,240,-,-,-,-
DIPIGNANO,607,8,-,-,-
DOMANICO,144,-,-,-,-
FAGNANO CASTELLO,205,-,-,-,-
FALCONARA ALBANESE,135,-,-,-,-
FIGLINE VEGLIATURO,181,-,-,-,-
FIRMO,103,-,-,-,-
FIUMEFREDDO BRUZIO,265,-,-,-,-
FRANCAVILLA MARITTIMA,286,-,-,-,-
FRASCINETO,163,-,-,-,-
FUSCALDO,948,8,-,-,-
GRIMALDI,136,-,-,-,-
GRISOLIA,284,-,-,-,-
GUARDIA PIEMONTESE,156,-,-,-,-
LAGO,213,-,-,-,-
LAINO BORGO,174,-,-,-,-
LAINO CASTELLO,69,-,-,-,-
LAPPANO,107,-,-,-,-
LATTARICO,500,-,-,-,-
LONGOBARDI,194,17,-,-,-
LONGOBUCCO,377,-,-,-,-
LUNGRO,150,6,-,-,-
LUZZI,1120,13,-,-,-
MAIERA',77,-,-,-,-
MALITO,72,-,-,-,-
MALVITO,150,-,-,-,-
MANDATORICCIO,273,-,-,-,-
MANGONE,265,-,-,-,-
MARANO MARCHESATO,468,8,-,-,-
MARANO PRINCIPATO,350,-,-,-,-
MARZI,155,-,-,-,-
MENDICINO,1275,-,-,-,-
MONGRASSANO,227,-,-,-,-
MONTALTO UFFUGO,3142,22,-,-,-
MONTEGIORDANO,126,-,-,-,-
MORANO CALABRO,254,8,-,-,-
MORMANNO,170,7,-,-,-
MOTTAFOLLONE,71,-,-,-,-
NOCARA,30,-,-,-,-
ORIOLO,93,-,-,-,-
ORSOMARSO,95,-,-,-,-
PALUDI,71,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1276,19,-,-,-
PAPASIDERO,21,-,-,-,-
PARENTI,292,-,-,-,-
PATERNO CALABRO,203,-,-,-,-
PEDIVIGLIANO,92,-,-,-,-
PIANE CRATI,206,-,-,-,-
PIETRAFITTA,114,-,-,-,-
PIETRAPAOLA,113,-,-,-,-
PLATACI,43,-,-,-,-
PRAIA A MARE,400,7,-,-,-
RENDE,5179,44,-,-,-
ROCCA IMPERIALE,265,-,-,-,-
ROGGIANO GRAVINA,781,13,-,-,-
ROGLIANO,814,7,-,-,-
ROSE,570,8,-,-,-
ROSETO CAPO SPULICO,134,-,-,-,-
ROTA GRECA,73,-,-,-,-
ROVITO,337,-,-,-,-
SAN BASILE,56,-,-,-,-
SAN BENEDETTO ULLANO,199,-,-,-,-
SAN COSMO ALBANESE,109,6,-,-,-
SAN DEMETRIO CORONE,177,-,-,-,-
SAN DONATO DI NINEA,90,-,-,-,-
SAN FILI,234,-,-,-,-
SAN GIORGIO ALBANESE,92,-,-,-,-
SAN GIOVANNI IN FIORE,2387,31,-,-,-
SAN LORENZO BELLIZZI,24,-,-,-,-
SAN LORENZO DEL VALLO,253,-,-,-,-
SAN LUCIDO,561,8,-,-,-
SAN MARCO ARGENTANO,744,6,-,-,-
SAN MARTINO DI FINITA,102,-,-,-,-
SAN NICOLA ARCELLA,132,-,-,-,-
