Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,142,-,-,-,-
ACQUAPPESA,179,-,-,-,-
ACRI,2272,28,-,-,-
AIELLO CALABRO,137,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,182,-,-,-,-
ALESSANDRIA DEL CARRETTO,25,-,-,-,-
ALTILIA,116,-,-,-,-
ALTOMONTE,620,-,-,-,-
ALTRA ASP,914,10,-,-,-
ALTRA REGIONE,598,11,-,-,-
AMANTEA,2506,21,-,-,-
AMENDOLARA,213,-,-,-,-
APRIGLIANO,435,10,-,-,-
BELMONTE CALABRO,233,-,-,-,-
BELSITO,170,-,-,-,-
BELVEDERE MARITTIMO,1051,10,-,-,-
BIANCHI,235,-,-,-,-
BISIGNANO,1407,17,-,-,-
BOCCHIGLIERO,119,7,-,-,-
BONIFATI,222,-,-,-,-
BUONVICINO,184,-,-,-,-
CALOPEZZATI,207,-,-,-,-
CALOVETO,206,-,-,-,-
CAMPANA,237,6,-,-,-
CANNA,64,-,-,-,-
CARIATI,811,12,-,-,-
CAROLEI,420,-,-,-,-
CARPANZANO,13,-,-,-,-
CASALI DEL MANCO,1729,20,-,-,-
CASSANO ALLO IONIO,2562,29,-,-,-
CASTIGLIONE COSENTINO,498,-,-,-,-
CASTROLIBERO,1639,14,-,-,-
CASTROREGIO,16,-,-,-,-
CASTROVILLARI,2466,25,-,-,-
CELICO,422,7,-,-,-
CELLARA,84,-,-,-,-
CERCHIARA DI CALABRIA,226,-,-,-,-
CERISANO,478,-,-,-,-
CERVICATI,114,-,-,-,-
CERZETO,222,-,-,-,-
CETRARO,1471,19,-,-,-
CIVITA,42,-,-,-,-
CLETO,117,-,-,-,-
COLOSIMI,183,-,-,-,-
CORIGLIANO-ROSSANO,13785,150,-,-,-
COSENZA,11803,123,-,-,-
CROPALATI,137,-,-,-,-
CROSIA,1467,13,-,-,-
DIAMANTE,334,-,-,-,-
DIPIGNANO,777,8,-,-,-
DOMANICO,174,-,-,-,-
FAGNANO CASTELLO,299,-,-,-,-
FALCONARA ALBANESE,209,-,-,-,-
FIGLINE VEGLIATURO,224,-,-,-,-
FIRMO,171,-,-,-,-
FIUMEFREDDO BRUZIO,471,-,-,-,-
FRANCAVILLA MARITTIMA,365,-,-,-,-
FRASCINETO,259,-,-,-,-
FUSCALDO,1206,8,-,-,-
GRIMALDI,216,-,-,-,-
GRISOLIA,351,-,-,-,-
GUARDIA PIEMONTESE,177,-,-,-,-
LAGO,337,-,-,-,-
LAINO BORGO,244,-,-,-,-
LAINO CASTELLO,117,-,-,-,-
LAPPANO,122,-,-,-,-
LATTARICO,649,6,-,-,-
LONGOBARDI,274,17,-,-,-
LONGOBUCCO,446,-,-,-,-
LUNGRO,219,6,-,-,-
LUZZI,1431,14,-,-,-
MAIERA',103,-,-,-,-
MALITO,81,-,-,-,-
MALVITO,181,6,-,-,-
MANDATORICCIO,415,-,-,-,-
MANGONE,316,-,-,-,-
MARANO MARCHESATO,592,8,-,-,-
MARANO PRINCIPATO,451,-,-,-,-
MARZI,183,-,-,-,-
MENDICINO,1625,6,-,-,-
MONGRASSANO,293,-,-,-,-
MONTALTO UFFUGO,4105,22,-,-,-
MONTEGIORDANO,213,-,-,-,-
MORANO CALABRO,263,9,-,-,-
