Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,192,-,-,-,-
ACQUAPPESA,270,-,-,-,-
ACRI,3154,31,-,-,-
AIELLO CALABRO,271,-,-,-,-
AIETA,38,-,-,-,-
ALBIDONA,252,-,-,-,-
ALESSANDRIA DEL CARRETTO,33,-,-,-,-
ALTILIA,169,-,-,-,-
ALTOMONTE,775,-,-,-,-
ALTRA ASP,1020,13,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3765,24,-,-,-
AMENDOLARA,255,-,-,-,-
APRIGLIANO,519,10,-,-,-
BELMONTE CALABRO,336,-,-,-,-
BELSITO,210,-,-,-,-
BELVEDERE MARITTIMO,1438,10,-,-,-
BIANCHI,274,-,-,-,-
BISIGNANO,1808,17,-,-,-
BOCCHIGLIERO,127,7,-,-,-
BONIFATI,336,6,-,-,-
BUONVICINO,279,-,-,-,-
CALOPEZZATI,375,-,-,-,-
CALOVETO,320,-,-,-,-
CAMPANA,273,7,-,-,-
CANNA,82,-,-,-,-
CARIATI,1082,13,-,-,-
CAROLEI,586,-,-,-,-
CARPANZANO,19,-,-,-,-
CASALI DEL MANCO,2264,20,-,-,-
CASSANO ALLO IONIO,3463,29,-,-,-
CASTIGLIONE COSENTINO,746,8,-,-,-
CASTROLIBERO,2157,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3458,26,-,-,-
CELICO,473,7,-,-,-
CELLARA,98,-,-,-,-
CERCHIARA DI CALABRIA,376,6,-,-,-
CERISANO,625,-,-,-,-
CERVICATI,149,-,-,-,-
CERZETO,271,-,-,-,-
CETRARO,1993,22,-,-,-
CIVITA,55,-,-,-,-
CLETO,222,-,-,-,-
COLOSIMI,281,-,-,-,-
CORIGLIANO-ROSSANO,18612,157,-,-,-
COSENZA,15657,135,-,-,-
CROPALATI,193,-,-,-,-
CROSIA,2225,15,-,-,-
DIAMANTE,638,-,-,-,-
DIPIGNANO,1007,8,-,-,-
DOMANICO,252,-,-,-,-
FAGNANO CASTELLO,385,6,-,-,-
FALCONARA ALBANESE,251,-,-,-,-
FIGLINE VEGLIATURO,306,-,-,-,-
FIRMO,267,-,-,-,-
FIUMEFREDDO BRUZIO,664,-,-,-,-
FRANCAVILLA MARITTIMA,538,-,-,-,-
FRASCINETO,372,-,-,-,-
FUSCALDO,1624,8,-,-,-
GRIMALDI,374,-,-,-,-
GRISOLIA,433,-,-,-,-
GUARDIA PIEMONTESE,296,-,-,-,-
LAGO,518,-,-,-,-
LAINO BORGO,382,-,-,-,-
LAINO CASTELLO,155,-,-,-,-
LAPPANO,160,-,-,-,-
LATTARICO,887,6,-,-,-
LONGOBARDI,447,20,-,-,-
LONGOBUCCO,631,-,-,-,-
LUNGRO,317,6,-,-,-
LUZZI,1927,16,-,-,-
MAIERA',188,-,-,-,-
MALITO,125,-,-,-,-
MALVITO,257,7,-,-,-
MANDATORICCIO,495,-,-,-,-
MANGONE,425,-,-,-,-
MARANO MARCHESATO,842,8,-,-,-
MARANO PRINCIPATO,617,-,-,-,-
MARZI,210,-,-,-,-
MENDICINO,2205,7,-,-,-
MONGRASSANO,398,-,-,-,-
MONTALTO UFFUGO,5664,22,-,-,-
MONTEGIORDANO,326,-,-,-,-
MORANO CALABRO,291,9,-,-,-
MORMANNO,229,8,-,-,-
MOTTAFOLLONE,144,-,-,-,-
NOCARA,38,-,-,-,-
ORIOLO,138,-,-,-,-
ORSOMARSO,219,-,-,-,-
PALUDI,163,-,-,-,-
PANETTIERI,37,-,-,-,-
PAOLA,2927,29,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,516,-,-,-,-
PATERNO CALABRO,344,-,-,-,-
PEDIVIGLIANO,157,-,-,-,-
PIANE CRATI,303,-,-,-,-
PIETRAFITTA,173,-,-,-,-
PIETRAPAOLA,225,-,-,-,-
PLATACI,76,-,-,-,-
PRAIA A MARE,812,7,-,-,-
RENDE,9260,49,-,-,-
ROCCA IMPERIALE,338,-,-,-,-
ROGGIANO GRAVINA,1193,15,-,-,-
ROGLIANO,1277,9,-,-,-
ROSE,957,8,-,-,-
ROSETO CAPO SPULICO,159,-,-,-,-
ROTA GRECA,183,-,-,-,-
ROVITO,418,-,-,-,-
SAN BASILE,109,-,-,-,-
SAN BENEDETTO ULLANO,252,-,-,-,-
SAN COSMO ALBANESE,155,6,-,-,-
SAN DEMETRIO CORONE,493,-,-,-,-
SAN DONATO DI NINEA,199,-,-,-,-
SAN FILI,461,-,-,-,-
SAN GIORGIO ALBANESE,259,-,-,-,-
SAN GIOVANNI IN FIORE,3506,32,-,-,-
SAN LORENZO BELLIZZI,58,-,-,-,-
SAN LORENZO DEL VALLO,407,-,-,-,-
SAN LUCIDO,781,9,-,-,-
SAN MARCO ARGENTANO,1420,7,-,-,-
SAN MARTINO DI FINITA,172,-,-,-,-
SAN NICOLA ARCELLA,244,-,-,-,-
SAN PIETRO IN AMANTEA,113,-,-,-,-
SAN PIETRO IN GUARANO,858,9,-,-,-
SAN SOSTI,313,7,-,-,-
SAN VINCENZO LA COSTA,549,-,-,-,-
SANGINETO,152,-,-,-,-
SANTA CATERINA ALBANESE,104,-,-,-,-
SANTA DOMENICA TALAO,67,-,-,-,-
