Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,35,-,-,-,-
ACQUAPPESA,60,-,-,-,-
ACRI,1408,23,-,-,-
AIELLO CALABRO,49,-,-,-,-
AIETA,6,-,-,-,-
ALBIDONA,56,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,47,-,-,-,-
ALTOMONTE,336,-,-,-,-
ALTRA ASP,378,7,-,-,-
ALTRA REGIONE,443,10,-,-,-
AMANTEA,867,16,-,-,-
AMENDOLARA,61,-,-,-,-
APRIGLIANO,144,8,-,-,-
BELMONTE CALABRO,123,-,-,-,-
BELSITO,57,-,-,-,-
BELVEDERE MARITTIMO,444,7,-,-,-
BIANCHI,71,-,-,-,-
BISIGNANO,889,14,-,-,-
BOCCHIGLIERO,108,7,-,-,-
BONIFATI,83,-,-,-,-
BUONVICINO,78,-,-,-,-
CALOPEZZATI,67,-,-,-,-
CALOVETO,80,-,-,-,-
CAMPANA,219,6,-,-,-
CANNA,23,-,-,-,-
CARIATI,516,11,-,-,-
CAROLEI,150,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,659,18,-,-,-
CASSANO ALLO IONIO,1774,28,-,-,-
CASTIGLIONE COSENTINO,202,-,-,-,-
CASTROLIBERO,717,8,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1315,21,-,-,-
CELICO,266,7,-,-,-
CELLARA,15,-,-,-,-
CERCHIARA DI CALABRIA,102,-,-,-,-
CERISANO,185,-,-,-,-
CERVICATI,58,-,-,-,-
CERZETO,94,-,-,-,-
CETRARO,574,15,-,-,-
CIVITA,25,-,-,-,-
CLETO,68,-,-,-,-
COLOSIMI,71,-,-,-,-
CORIGLIANO-ROSSANO,7880,139,-,-,-
COSENZA,5889,94,-,-,-
CROPALATI,33,-,-,-,-
CROSIA,815,12,-,-,-
DIAMANTE,169,-,-,-,-
DIPIGNANO,336,6,-,-,-
DOMANICO,70,-,-,-,-
FAGNANO CASTELLO,114,-,-,-,-
FALCONARA ALBANESE,89,-,-,-,-
FIGLINE VEGLIATURO,106,-,-,-,-
FIRMO,47,-,-,-,-
FIUMEFREDDO BRUZIO,141,-,-,-,-
FRANCAVILLA MARITTIMA,171,-,-,-,-
FRASCINETO,89,-,-,-,-
FUSCALDO,549,-,-,-,-
GRIMALDI,87,-,-,-,-
GRISOLIA,107,-,-,-,-
GUARDIA PIEMONTESE,114,-,-,-,-
LAGO,109,-,-,-,-
LAINO BORGO,131,-,-,-,-
LAINO CASTELLO,49,-,-,-,-
LAPPANO,80,-,-,-,-
LATTARICO,308,-,-,-,-
LONGOBARDI,171,15,-,-,-
LONGOBUCCO,204,-,-,-,-
LUNGRO,94,-,-,-,-
LUZZI,708,13,-,-,-
MAIERA',49,-,-,-,-
MALITO,33,-,-,-,-
MALVITO,85,-,-,-,-
MANDATORICCIO,191,-,-,-,-
MANGONE,197,-,-,-,-
MARANO MARCHESATO,260,8,-,-,-
MARANO PRINCIPATO,212,-,-,-,-
MARZI,89,-,-,-,-
MENDICINO,757,-,-,-,-
MONGRASSANO,124,-,-,-,-
MONTALTO UFFUGO,1806,17,-,-,-
MONTEGIORDANO,77,-,-,-,-
MORANO CALABRO,232,8,-,-,-
MORMANNO,137,7,-,-,-
MOTTAFOLLONE,43,-,-,-,-
NOCARA,23,-,-,-,-
ORIOLO,74,-,-,-,-
ORSOMARSO,53,-,-,-,-
PALUDI,35,-,-,-,-
PANETTIERI,16,-,-,-,-
PAOLA,870,15,-,-,-
PAPASIDERO,11,-,-,-,-
PARENTI,89,-,-,-,-
PATERNO CALABRO,150,-,-,-,-
PEDIVIGLIANO,85,-,-,-,-
PIANE CRATI,90,-,-,-,-
PIETRAFITTA,45,-,-,-,-
PIETRAPAOLA,79,-,-,-,-
PLATACI,33,-,-,-,-
PRAIA A MARE,320,7,-,-,-
RENDE,3090,39,-,-,-
ROCCA IMPERIALE,224,-,-,-,-
ROGGIANO GRAVINA,415,13,-,-,-
ROGLIANO,469,-,-,-,-
ROSE,414,8,-,-,-
ROSETO CAPO SPULICO,117,-,-,-,-
ROTA GRECA,61,-,-,-,-
ROVITO,248,-,-,-,-
SAN BASILE,19,-,-,-,-
SAN BENEDETTO ULLANO,111,-,-,-,-
SAN COSMO ALBANESE,71,6,-,-,-
SAN DEMETRIO CORONE,122,-,-,-,-
SAN DONATO DI NINEA,51,-,-,-,-
SAN FILI,137,-,-,-,-
SAN GIORGIO ALBANESE,79,-,-,-,-
SAN GIOVANNI IN FIORE,1920,30,-,-,-
SAN LORENZO BELLIZZI,6,-,-,-,-
SAN LORENZO DEL VALLO,215,-,-,-,-
SAN LUCIDO,483,6,-,-,-
SAN MARCO ARGENTANO,306,6,-,-,-
SAN MARTINO DI FINITA,80,-,-,-,-
SAN NICOLA ARCELLA,85,-,-,-,-
SAN PIETRO IN AMANTEA,17,-,-,-,-
SAN PIETRO IN GUARANO,233,6,-,-,-
SAN SOSTI,122,6,-,-,-
SAN VINCENZO LA COSTA,130,-,-,-,-
SANGINETO,52,-,-,-,-
SANTA CATERINA ALBANESE,32,-,-,-,-
SANTA DOMENICA TALAO,25,-,-,-,-
SANTA MARIA DEL CEDRO,231,-,-,-,-
SANTA SOFIA D'EPIRO,128,6,-,-,-
SANT'AGATA DI ESARO,90,-,-,-,-
SANTO STEFANO DI ROGLIANO,171,-,-,-,-
SARACENA,110,-,-,-,-
SCALA COELI,28,-,-,-,-
SCALEA,521,6,-,-,-
SCIGLIANO,24,-,-,-,-
SERRA D'AIELLO,51,-,-,-,-
SPEZZANO ALBANESE,509,13,-,-,-
SPEZZANO DELLA SILA,363,12,-,-,-
TARSIA,69,-,-,-,-
TERRANOVA DA SIBARI,549,11,-,-,-
TERRAVECCHIA,9,-,-,-,-
TORANO CASTELLO,444,18,-,-,-
TORTORA,308,-,-,-,-
TREBISACCE,395,10,-,-,-
VACCARIZZO ALBANESE,62,-,-,-,-
VERBICARO,129,-,-,-,-
VILLAPIANA,351,-,-,-,-
ZUMPANO,274,-,-,-,-
