Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,25,-,-,-,-
ACQUAPPESA,52,-,-,-,-
ACRI,1305,21,-,-,-
AIELLO CALABRO,37,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,55,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,39,-,-,-,-
ALTOMONTE,310,-,-,-,-
ALTRA ASP,229,7,-,-,-
ALTRA REGIONE,369,8,-,-,-
AMANTEA,730,15,-,-,-
AMENDOLARA,60,-,-,-,-
APRIGLIANO,133,8,-,-,-
BELMONTE CALABRO,119,-,-,-,-
BELSITO,46,-,-,-,-
BELVEDERE MARITTIMO,409,6,-,-,-
BIANCHI,57,-,-,-,-
BISIGNANO,824,14,-,-,-
BOCCHIGLIERO,107,7,-,-,-
BONIFATI,67,-,-,-,-
BUONVICINO,72,-,-,-,-
CALOPEZZATI,61,-,-,-,-
CALOVETO,74,-,-,-,-
CAMPANA,219,-,-,-,-
CANNA,17,-,-,-,-
CARIATI,491,11,-,-,-
CAROLEI,122,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,591,16,-,-,-
CASSANO ALLO IONIO,1639,27,-,-,-
CASTIGLIONE COSENTINO,170,-,-,-,-
CASTROLIBERO,548,8,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1183,21,-,-,-
CELICO,247,7,-,-,-
CELLARA,10,-,-,-,-
CERCHIARA DI CALABRIA,79,-,-,-,-
CERISANO,148,-,-,-,-
CERVICATI,52,-,-,-,-
CERZETO,86,-,-,-,-
CETRARO,508,13,-,-,-
CIVITA,25,-,-,-,-
CLETO,53,-,-,-,-
COLOSIMI,55,-,-,-,-
CORIGLIANO-ROSSANO,6854,132,-,-,-
COSENZA,4894,87,-,-,-
CROPALATI,31,-,-,-,-
CROSIA,665,11,-,-,-
DIAMANTE,160,-,-,-,-
DIPIGNANO,242,-,-,-,-
DOMANICO,60,-,-,-,-
FAGNANO CASTELLO,108,-,-,-,-
FALCONARA ALBANESE,77,-,-,-,-
FIGLINE VEGLIATURO,93,-,-,-,-
FIRMO,38,-,-,-,-
FIUMEFREDDO BRUZIO,118,-,-,-,-
FRANCAVILLA MARITTIMA,159,-,-,-,-
FRASCINETO,85,-,-,-,-
FUSCALDO,371,-,-,-,-
GRIMALDI,66,-,-,-,-
GRISOLIA,95,-,-,-,-
GUARDIA PIEMONTESE,106,-,-,-,-
LAGO,96,-,-,-,-
LAINO BORGO,97,-,-,-,-
LAINO CASTELLO,39,-,-,-,-
LAPPANO,63,-,-,-,-
LATTARICO,283,-,-,-,-
LONGOBARDI,159,15,-,-,-
LONGOBUCCO,172,-,-,-,-
LUNGRO,81,-,-,-,-
LUZZI,698,13,-,-,-
MAIERA',44,-,-,-,-
MALITO,29,-,-,-,-
MALVITO,81,-,-,-,-
MANDATORICCIO,185,-,-,-,-
MANGONE,172,-,-,-,-
MARANO MARCHESATO,209,8,-,-,-
MARANO PRINCIPATO,172,-,-,-,-
MARZI,69,-,-,-,-
MENDICINO,658,-,-,-,-
MONGRASSANO,110,-,-,-,-
MONTALTO UFFUGO,1480,16,-,-,-
MONTEGIORDANO,61,-,-,-,-
MORANO CALABRO,229,8,-,-,-
MORMANNO,134,7,-,-,-
MOTTAFOLLONE,27,-,-,-,-
NOCARA,23,-,-,-,-
ORIOLO,71,-,-,-,-
ORSOMARSO,42,-,-,-,-
PALUDI,33,-,-,-,-
PANETTIERI,16,-,-,-,-
PAOLA,724,15,-,-,-
PAPASIDERO,7,-,-,-,-
PARENTI,83,-,-,-,-
PATERNO CALABRO,141,-,-,-,-
PEDIVIGLIANO,81,-,-,-,-
PIANE CRATI,75,-,-,-,-
PIETRAFITTA,33,-,-,-,-
PIETRAPAOLA,75,-,-,-,-
PLATACI,32,-,-,-,-
PRAIA A MARE,284,6,-,-,-
RENDE,2574,37,-,-,-
ROCCA IMPERIALE,216,-,-,-,-
ROGGIANO GRAVINA,385,10,-,-,-
ROGLIANO,350,-,-,-,-
ROSE,391,7,-,-,-
ROSETO CAPO SPULICO,116,-,-,-,-
