Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,17,1,-,-,4
ACRI,891,16,-,2,40
AIELLO CALABRO,15,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,47,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,239,3,-,1,18
ALTRA ASP,88,5,-,-,2
ALTRA REGIONE,173,4,-,3,61
AMANTEA,269,6,-,-,23
AMENDOLARA,27,-,-,-,5
APRIGLIANO,61,8,-,-,-
BELMONTE CALABRO,41,-,-,-,3
BELSITO,31,1,-,-,1
BELVEDERE MARITTIMO,233,4,-,-,6
BIANCHI,27,1,-,-,2
BISIGNANO,549,10,-,-,18
BOCCHIGLIERO,38,5,-,-,2
BONIFATI,26,1,-,-,1
BUONVICINO,25,1,-,-,1
CALOPEZZATI,32,-,-,-,2
CALOVETO,52,-,-,-,-
CAMPANA,128,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,240,6,-,1,9
CAROLEI,58,-,-,-,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,295,13,-,-,8
CASSANO ALLO IONIO,898,18,-,1,25
CASTIGLIONE COSENTINO,106,3,-,-,-
CASTROLIBERO,287,5,-,-,4
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,619,13,-,2,26
CELICO,179,6,-,-,4
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,44,2,-,-,2
CERISANO,68,-,-,-,-
CERVICATI,45,1,-,-,-
CERZETO,55,-,-,-,-
CETRARO,243,5,-,-,4
CIVITA,10,1,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,33,-,-,1,5
CORIGLIANO-ROSSANO,4201,98,1,6,118
COSENZA,2402,56,-,2,71
CROPALATI,17,-,-,-,-
CROSIA,422,8,-,-,2
DIAMANTE,69,2,-,-,4
DIPIGNANO,146,4,-,-,9
DOMANICO,53,-,-,-,-
FAGNANO CASTELLO,54,3,-,-,1
FALCONARA ALBANESE,25,1,-,-,2
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,18,1,-,-,6
FIUMEFREDDO BRUZIO,17,-,-,-,-
FRANCAVILLA MARITTIMA,98,4,-,-,13
FRASCINETO,65,2,-,-,-
FUSCALDO,224,-,-,-,3
GRIMALDI,38,-,-,-,-
GRISOLIA,25,-,-,-,3
GUARDIA PIEMONTESE,52,1,-,-,2
LAGO,59,1,-,-,11
LAINO BORGO,57,3,-,-,1
LAINO CASTELLO,12,-,-,-,5
LAPPANO,28,1,-,-,5
LATTARICO,160,4,-,1,9
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,58,5,-,1,1
LUZZI,340,7,-,-,4
MAIERA',23,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,34,2,-,-,3
MANDATORICCIO,110,2,-,-,1
MANGONE,92,2,-,-,-
MARANO MARCHESATO,113,5,-,-,2
MARANO PRINCIPATO,115,-,-,-,11
MARZI,35,2,-,-,-
MENDICINO,314,1,-,-,14
MONGRASSANO,72,2,-,2,11
MONTALTO UFFUGO,738,10,-,-,16
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,130,5,2,2,24
MORMANNO,124,7,-,-,8
MOTTAFOLLONE,20,1,-,-,4
NOCARA,16,-,-,-,-
ORIOLO,43,2,-,-,-
ORSOMARSO,5,-,-,1,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,307,9,-,1,5
PAPASIDERO,3,-,-,-,2
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,47,2,-,-,1
PLATACI,2,-,-,-,-
PRAIA A MARE,140,4,-,1,15
RENDE,1389,27,-,1,38
ROCCA IMPERIALE,142,1,-,-,-
ROGGIANO GRAVINA,207,6,-,-,11
ROGLIANO,196,5,-,-,-
ROSE,227,5,-,1,4
ROSETO CAPO SPULICO,64,1,-,-,16
ROTA GRECA,37,3,-,-,2
ROVITO,110,1,-,-,1
SAN BASILE,13,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,44,-,-,-,2
SAN DONATO DI NINEA,29,5,-,-,1
SAN FILI,56,1,-,-,1
SAN GIORGIO ALBANESE,28,2,-,-,1
SAN GIOVANNI IN FIORE,893,25,-,-,19
SAN LORENZO BELLIZZI,1,-,-,-,-
