Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,17,1,-,-,4
ACRI,860,16,-,2,11
AIELLO CALABRO,15,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,47,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,228,2,-,1,8
ALTRA ASP,89,5,-,-,2
ALTRA REGIONE,159,3,-,2,57
AMANTEA,264,6,-,-,18
AMENDOLARA,24,-,-,-,2
APRIGLIANO,61,8,-,-,-
BELMONTE CALABRO,39,-,-,-,1
BELSITO,31,1,-,-,1
BELVEDERE MARITTIMO,233,4,-,-,7
BIANCHI,27,1,-,-,2
BISIGNANO,540,10,-,-,12
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,26,1,-,-,1
BUONVICINO,25,1,-,-,1
CALOPEZZATI,32,-,-,-,2
CALOVETO,52,-,-,-,-
CAMPANA,127,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,233,6,-,1,2
CAROLEI,58,-,-,-,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,293,13,-,-,9
CASSANO ALLO IONIO,880,17,-,1,12
CASTIGLIONE COSENTINO,106,3,-,-,-
CASTROLIBERO,286,5,-,-,4
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,617,13,-,2,27
CELICO,179,6,-,-,4
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,44,2,-,-,2
CERISANO,68,-,-,-,-
CERVICATI,45,1,-,-,-
CERZETO,55,-,-,-,-
CETRARO,243,5,-,-,4
CIVITA,10,1,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,32,-,-,1,14
CORIGLIANO-ROSSANO,4155,88,2,7,103
COSENZA,2394,56,-,2,77
CROPALATI,17,-,-,-,-
CROSIA,419,8,-,-,-
DIAMANTE,69,2,-,-,4
DIPIGNANO,145,4,-,1,10
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,54,3,-,-,1
FALCONARA ALBANESE,23,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,18,-,1,-,6
FIUMEFREDDO BRUZIO,17,-,-,-,-
FRANCAVILLA MARITTIMA,97,4,-,-,13
FRASCINETO,65,2,-,-,-
FUSCALDO,222,-,-,-,1
GRIMALDI,38,-,-,-,-
GRISOLIA,25,-,-,-,3
GUARDIA PIEMONTESE,50,1,-,-,-
LAGO,59,1,-,-,11
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,27,1,-,-,4
LATTARICO,160,4,-,1,9
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,58,5,-,1,1
LUZZI,339,7,-,-,4
MAIERA',23,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,33,2,-,-,2
MANDATORICCIO,109,2,-,-,-
MANGONE,92,2,-,-,-
MARANO MARCHESATO,113,5,-,-,2
MARANO PRINCIPATO,115,-,-,-,11
MARZI,35,2,-,-,-
MENDICINO,310,1,-,-,13
MONGRASSANO,63,2,-,2,1
MONTALTO UFFUGO,734,10,-,1,12
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,129,5,-,3,26
MORMANNO,121,7,-,-,5
MOTTAFOLLONE,17,1,-,-,1
NOCARA,16,-,-,-,-
ORIOLO,43,2,-,-,2
ORSOMARSO,4,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,303,9,-,1,1
PAPASIDERO,3,-,-,-,2
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,47,2,-,-,1
PLATACI,2,-,-,-,-
PRAIA A MARE,136,4,-,-,12
RENDE,1380,27,-,4,32
ROCCA IMPERIALE,142,1,-,-,-
ROGGIANO GRAVINA,206,6,-,-,10
ROGLIANO,196,5,-,-,2
ROSE,227,5,-,1,4
ROSETO CAPO SPULICO,62,1,-,-,27
ROTA GRECA,36,3,-,-,1
ROVITO,110,1,-,-,2
SAN BASILE,13,-,-,-,1
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,42,-,-,-,-
SAN DONATO DI NINEA,28,5,-,-,-
SAN FILI,56,1,-,-,1
SAN GIORGIO ALBANESE,28,2,-,-,1
SAN GIOVANNI IN FIORE,887,25,-,-,17
SAN LORENZO BELLIZZI,1,-,-,-,-
