Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,82,-,-,-,-
ACQUAPPESA,104,-,-,-,-
ACRI,1715,24,-,-,-
AIELLO CALABRO,83,-,-,-,-
AIETA,9,-,-,-,-
ALBIDONA,122,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,54,-,-,-,-
ALTOMONTE,445,-,-,-,-
ALTRA ASP,780,8,-,-,-
ALTRA REGIONE,589,10,-,-,-
AMANTEA,1362,17,-,-,-
AMENDOLARA,80,-,-,-,-
APRIGLIANO,295,8,-,-,-
BELMONTE CALABRO,151,-,-,-,-
BELSITO,83,-,-,-,-
BELVEDERE MARITTIMO,595,7,-,-,-
BIANCHI,132,-,-,-,-
BISIGNANO,1194,15,-,-,-
BOCCHIGLIERO,112,7,-,-,-
BONIFATI,157,-,-,-,-
BUONVICINO,97,-,-,-,-
CALOPEZZATI,101,-,-,-,-
CALOVETO,141,-,-,-,-
CAMPANA,227,6,-,-,-
CANNA,36,-,-,-,-
CARIATI,559,12,-,-,-
CAROLEI,284,-,-,-,-
CARPANZANO,8,-,-,-,-
CASALI DEL MANCO,1100,18,-,-,-
CASSANO ALLO IONIO,1969,29,-,-,-
CASTIGLIONE COSENTINO,281,-,-,-,-
CASTROLIBERO,1095,10,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1707,23,-,-,-
CELICO,352,7,-,-,-
CELLARA,47,-,-,-,-
CERCHIARA DI CALABRIA,157,-,-,-,-
CERISANO,311,-,-,-,-
CERVICATI,78,-,-,-,-
CERZETO,148,-,-,-,-
CETRARO,893,16,-,-,-
CIVITA,29,-,-,-,-
CLETO,83,-,-,-,-
COLOSIMI,122,-,-,-,-
CORIGLIANO-ROSSANO,10048,144,-,-,-
COSENZA,8329,106,-,-,-
CROPALATI,90,-,-,-,-
CROSIA,1094,12,-,-,-
DIAMANTE,209,-,-,-,-
DIPIGNANO,548,8,-,-,-
DOMANICO,116,-,-,-,-
FAGNANO CASTELLO,188,-,-,-,-
FALCONARA ALBANESE,115,-,-,-,-
FIGLINE VEGLIATURO,156,-,-,-,-
FIRMO,84,-,-,-,-
FIUMEFREDDO BRUZIO,195,-,-,-,-
FRANCAVILLA MARITTIMA,252,-,-,-,-
FRASCINETO,128,-,-,-,-
FUSCALDO,845,-,-,-,-
GRIMALDI,118,-,-,-,-
GRISOLIA,196,-,-,-,-
GUARDIA PIEMONTESE,139,-,-,-,-
LAGO,156,-,-,-,-
LAINO BORGO,158,-,-,-,-
LAINO CASTELLO,56,-,-,-,-
LAPPANO,105,-,-,-,-
LATTARICO,466,-,-,-,-
LONGOBARDI,179,17,-,-,-
LONGOBUCCO,284,-,-,-,-
LUNGRO,132,6,-,-,-
LUZZI,1047,13,-,-,-
MAIERA',63,-,-,-,-
MALITO,61,-,-,-,-
MALVITO,128,-,-,-,-
MANDATORICCIO,244,-,-,-,-
MANGONE,256,-,-,-,-
MARANO MARCHESATO,416,8,-,-,-
MARANO PRINCIPATO,320,-,-,-,-
MARZI,130,-,-,-,-
MENDICINO,1137,-,-,-,-
MONGRASSANO,191,-,-,-,-
MONTALTO UFFUGO,2793,21,-,-,-
MONTEGIORDANO,112,-,-,-,-
MORANO CALABRO,244,8,-,-,-
MORMANNO,155,7,-,-,-
MOTTAFOLLONE,64,-,-,-,-
NOCARA,30,-,-,-,-
ORIOLO,92,-,-,-,-
ORSOMARSO,83,-,-,-,-
PALUDI,69,-,-,-,-
PANETTIERI,17,-,-,-,-
PAOLA,1166,17,-,-,-
PAPASIDERO,14,-,-,-,-
PARENTI,212,-,-,-,-
PATERNO CALABRO,187,-,-,-,-
PEDIVIGLIANO,89,-,-,-,-
PIANE CRATI,190,-,-,-,-
PIETRAFITTA,109,-,-,-,-
PIETRAPAOLA,102,-,-,-,-
PLATACI,38,-,-,-,-
PRAIA A MARE,377,7,-,-,-
RENDE,4635,42,-,-,-
ROCCA IMPERIALE,257,-,-,-,-
ROGGIANO GRAVINA,625,13,-,-,-
ROGLIANO,730,7,-,-,-
ROSE,528,8,-,-,-
ROSETO CAPO SPULICO,126,-,-,-,-
ROTA GRECA,70,-,-,-,-
ROVITO,302,-,-,-,-
SAN BASILE,42,-,-,-,-
SAN BENEDETTO ULLANO,195,-,-,-,-
SAN COSMO ALBANESE,96,6,-,-,-
SAN DEMETRIO CORONE,154,-,-,-,-
SAN DONATO DI NINEA,84,-,-,-,-
SAN FILI,217,-,-,-,-
SAN GIORGIO ALBANESE,85,-,-,-,-
SAN GIOVANNI IN FIORE,2252,31,-,-,-
SAN LORENZO BELLIZZI,14,-,-,-,-
SAN LORENZO DEL VALLO,244,-,-,-,-
SAN LUCIDO,530,7,-,-,-
SAN MARCO ARGENTANO,607,6,-,-,-
SAN MARTINO DI FINITA,100,-,-,-,-
SAN NICOLA ARCELLA,120,-,-,-,-
SAN PIETRO IN AMANTEA,33,-,-,-,-
SAN PIETRO IN GUARANO,337,6,-,-,-
SAN SOSTI,151,6,-,-,-
SAN VINCENZO LA COSTA,256,-,-,-,-
SANGINETO,80,-,-,-,-
SANTA CATERINA ALBANESE,41,-,-,-,-
SANTA DOMENICA TALAO,30,-,-,-,-
SANTA MARIA DEL CEDRO,363,-,-,-,-
SANTA SOFIA D'EPIRO,142,6,-,-,-
SANT'AGATA DI ESARO,99,-,-,-,-
SANTO STEFANO DI ROGLIANO,278,-,-,-,-
SARACENA,279,-,-,-,-
SCALA COELI,29,-,-,-,-
SCALEA,799,7,-,-,-
SCIGLIANO,77,-,-,-,-
SERRA D'AIELLO,59,-,-,-,-
SPEZZANO ALBANESE,684,13,-,-,-
SPEZZANO DELLA SILA,510,12,-,-,-
TARSIA,92,-,-,-,-
TERRANOVA DA SIBARI,703,11,-,-,-
TERRAVECCHIA,17,-,-,-,-
TORANO CASTELLO,537,18,-,-,-
TORTORA,375,6,-,-,-
TREBISACCE,499,10,-,-,-
VACCARIZZO ALBANESE,85,-,-,-,-
VERBICARO,174,-,-,-,-
VILLAPIANA,395,-,-,-,-
ZUMPANO,360,-,-,-,-
