Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,156,-,-,-,-
ACQUAPPESA,193,-,-,-,-
ACRI,2667,29,-,-,-
AIELLO CALABRO,161,-,-,-,-
AIETA,14,-,-,-,-
ALBIDONA,212,-,-,-,-
ALESSANDRIA DEL CARRETTO,26,-,-,-,-
ALTILIA,142,-,-,-,-
ALTOMONTE,668,-,-,-,-
ALTRA ASP,942,11,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,2863,22,-,-,-
AMENDOLARA,220,-,-,-,-
APRIGLIANO,472,10,-,-,-
BELMONTE CALABRO,255,-,-,-,-
BELSITO,179,-,-,-,-
BELVEDERE MARITTIMO,1194,10,-,-,-
BIANCHI,258,-,-,-,-
BISIGNANO,1528,17,-,-,-
BOCCHIGLIERO,121,7,-,-,-
BONIFATI,253,-,-,-,-
BUONVICINO,213,-,-,-,-
CALOPEZZATI,238,-,-,-,-
CALOVETO,246,-,-,-,-
CAMPANA,249,6,-,-,-
CANNA,66,-,-,-,-
CARIATI,854,13,-,-,-
CAROLEI,455,-,-,-,-
CARPANZANO,13,-,-,-,-
CASALI DEL MANCO,1917,20,-,-,-
CASSANO ALLO IONIO,2724,29,-,-,-
CASTIGLIONE COSENTINO,547,-,-,-,-
CASTROLIBERO,1800,14,-,-,-
CASTROREGIO,20,-,-,-,-
CASTROVILLARI,2715,25,-,-,-
CELICO,439,7,-,-,-
CELLARA,87,-,-,-,-
CERCHIARA DI CALABRIA,254,-,-,-,-
CERISANO,515,-,-,-,-
CERVICATI,125,-,-,-,-
CERZETO,239,-,-,-,-
CETRARO,1598,20,-,-,-
CIVITA,47,-,-,-,-
CLETO,143,-,-,-,-
COLOSIMI,205,-,-,-,-
CORIGLIANO-ROSSANO,15081,152,-,-,-
COSENZA,12951,128,-,-,-
CROPALATI,150,-,-,-,-
CROSIA,1664,14,-,-,-
DIAMANTE,421,-,-,-,-
DIPIGNANO,832,8,-,-,-
DOMANICO,183,-,-,-,-
FAGNANO CASTELLO,316,-,-,-,-
FALCONARA ALBANESE,219,-,-,-,-
FIGLINE VEGLIATURO,248,-,-,-,-
FIRMO,187,-,-,-,-
FIUMEFREDDO BRUZIO,505,-,-,-,-
FRANCAVILLA MARITTIMA,403,-,-,-,-
FRASCINETO,275,-,-,-,-
FUSCALDO,1304,8,-,-,-
GRIMALDI,253,-,-,-,-
GRISOLIA,394,-,-,-,-
GUARDIA PIEMONTESE,208,-,-,-,-
LAGO,402,-,-,-,-
LAINO BORGO,251,-,-,-,-
LAINO CASTELLO,119,-,-,-,-
LAPPANO,138,-,-,-,-
LATTARICO,747,6,-,-,-
LONGOBARDI,299,19,-,-,-
LONGOBUCCO,537,-,-,-,-
LUNGRO,258,6,-,-,-
LUZZI,1581,15,-,-,-
MAIERA',145,-,-,-,-
MALITO,91,-,-,-,-
MALVITO,204,6,-,-,-
MANDATORICCIO,434,-,-,-,-
MANGONE,338,-,-,-,-
MARANO MARCHESATO,679,8,-,-,-
MARANO PRINCIPATO,501,-,-,-,-
MARZI,195,-,-,-,-
MENDICINO,1797,6,-,-,-
MONGRASSANO,349,-,-,-,-
MONTALTO UFFUGO,4546,22,-,-,-
MONTEGIORDANO,238,-,-,-,-
MORANO CALABRO,267,9,-,-,-
MORMANNO,207,8,-,-,-
MOTTAFOLLONE,111,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,125,-,-,-,-
ORSOMARSO,177,-,-,-,-
PALUDI,118,-,-,-,-
PANETTIERI,36,-,-,-,-
PAOLA,2174,26,-,-,-
PAPASIDERO,30,-,-,-,-
PARENTI,432,-,-,-,-
PATERNO CALABRO,294,-,-,-,-
PEDIVIGLIANO,116,-,-,-,-
PIANE CRATI,259,-,-,-,-
PIETRAFITTA,156,-,-,-,-
PIETRAPAOLA,169,-,-,-,-
PLATACI,73,-,-,-,-
PRAIA A MARE,521,7,-,-,-
RENDE,7636,48,-,-,-
ROCCA IMPERIALE,290,-,-,-,-
ROGGIANO GRAVINA,1025,13,-,-,-
ROGLIANO,1138,8,-,-,-
ROSE,781,8,-,-,-
ROSETO CAPO SPULICO,148,-,-,-,-
ROTA GRECA,149,-,-,-,-
ROVITO,386,-,-,-,-
SAN BASILE,82,-,-,-,-
SAN BENEDETTO ULLANO,227,-,-,-,-
SAN COSMO ALBANESE,133,6,-,-,-
SAN DEMETRIO CORONE,323,-,-,-,-
SAN DONATO DI NINEA,160,-,-,-,-
SAN FILI,416,-,-,-,-
SAN GIORGIO ALBANESE,149,-,-,-,-
SAN GIOVANNI IN FIORE,3120,32,-,-,-
SAN LORENZO BELLIZZI,45,-,-,-,-
SAN LORENZO DEL VALLO,334,-,-,-,-
SAN LUCIDO,697,8,-,-,-
SAN MARCO ARGENTANO,1173,7,-,-,-
SAN MARTINO DI FINITA,143,-,-,-,-
SAN NICOLA ARCELLA,205,-,-,-,-
SAN PIETRO IN AMANTEA,67,-,-,-,-
SAN PIETRO IN GUARANO,648,8,-,-,-
SAN SOSTI,271,7,-,-,-
SAN VINCENZO LA COSTA,422,-,-,-,-
SANGINETO,133,-,-,-,-
SANTA CATERINA ALBANESE,79,-,-,-,-
SANTA DOMENICA TALAO,56,-,-,-,-
SANTA MARIA DEL CEDRO,598,-,-,-,-
SANTA SOFIA D'EPIRO,187,7,-,-,-
SANT'AGATA DI ESARO,115,-,-,-,-
SANTO STEFANO DI ROGLIANO,451,-,-,-,-
SARACENA,617,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,1418,8,-,-,-
SCIGLIANO,111,-,-,-,-
SERRA D'AIELLO,101,-,-,-,-
SPEZZANO ALBANESE,906,16,-,-,-
SPEZZANO DELLA SILA,699,13,-,-,-
TARSIA,254,-,-,-,-
TERRANOVA DA SIBARI,846,12,-,-,-
TERRAVECCHIA,58,-,-,-,-
TORANO CASTELLO,731,19,-,-,-
TORTORA,466,8,-,-,-
TREBISACCE,1174,12,-,-,-
VACCARIZZO ALBANESE,134,-,-,-,-
VERBICARO,199,6,-,-,-
VILLAPIANA,601,-,-,-,-
ZUMPANO,612,-,-,-,-
