Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,29,-,-,-,-
ACQUAPPESA,53,-,-,-,-
ACRI,1346,23,-,-,-
AIELLO CALABRO,43,-,-,-,-
AIETA,6,-,-,-,-
ALBIDONA,56,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,41,-,-,-,-
ALTOMONTE,320,-,-,-,-
ALTRA ASP,286,7,-,-,-
ALTRA REGIONE,414,10,-,-,-
AMANTEA,786,16,-,-,-
AMENDOLARA,61,-,-,-,-
APRIGLIANO,134,8,-,-,-
BELMONTE CALABRO,120,-,-,-,-
BELSITO,50,-,-,-,-
BELVEDERE MARITTIMO,421,7,-,-,-
BIANCHI,68,-,-,-,-
BISIGNANO,857,14,-,-,-
BOCCHIGLIERO,108,7,-,-,-
BONIFATI,73,-,-,-,-
BUONVICINO,74,-,-,-,-
CALOPEZZATI,62,-,-,-,-
CALOVETO,78,-,-,-,-
CAMPANA,219,6,-,-,-
CANNA,22,-,-,-,-
CARIATI,498,11,-,-,-
CAROLEI,132,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,614,16,-,-,-
CASSANO ALLO IONIO,1722,28,-,-,-
CASTIGLIONE COSENTINO,182,-,-,-,-
CASTROLIBERO,644,8,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1264,21,-,-,-
CELICO,264,7,-,-,-
CELLARA,12,-,-,-,-
CERCHIARA DI CALABRIA,88,-,-,-,-
CERISANO,170,-,-,-,-
CERVICATI,53,-,-,-,-
CERZETO,90,-,-,-,-
CETRARO,518,13,-,-,-
CIVITA,25,-,-,-,-
CLETO,55,-,-,-,-
COLOSIMI,63,-,-,-,-
CORIGLIANO-ROSSANO,7294,136,-,-,-
COSENZA,5397,91,-,-,-
CROPALATI,31,-,-,-,-
CROSIA,721,11,-,-,-
DIAMANTE,166,-,-,-,-
DIPIGNANO,270,6,-,-,-
DOMANICO,63,-,-,-,-
FAGNANO CASTELLO,112,-,-,-,-
FALCONARA ALBANESE,89,-,-,-,-
FIGLINE VEGLIATURO,96,-,-,-,-
FIRMO,42,-,-,-,-
FIUMEFREDDO BRUZIO,136,-,-,-,-
FRANCAVILLA MARITTIMA,161,-,-,-,-
FRASCINETO,87,-,-,-,-
FUSCALDO,441,-,-,-,-
GRIMALDI,84,-,-,-,-
GRISOLIA,96,-,-,-,-
GUARDIA PIEMONTESE,109,-,-,-,-
LAGO,100,-,-,-,-
LAINO BORGO,118,-,-,-,-
LAINO CASTELLO,49,-,-,-,-
LAPPANO,73,-,-,-,-
LATTARICO,289,-,-,-,-
LONGOBARDI,168,15,-,-,-
LONGOBUCCO,184,-,-,-,-
LUNGRO,85,-,-,-,-
LUZZI,703,13,-,-,-
MAIERA',47,-,-,-,-
MALITO,29,-,-,-,-
MALVITO,84,-,-,-,-
MANDATORICCIO,188,-,-,-,-
MANGONE,182,-,-,-,-
MARANO MARCHESATO,230,8,-,-,-
MARANO PRINCIPATO,194,-,-,-,-
MARZI,79,-,-,-,-
MENDICINO,709,-,-,-,-
MONGRASSANO,113,-,-,-,-
MONTALTO UFFUGO,1576,16,-,-,-
MONTEGIORDANO,69,-,-,-,-
MORANO CALABRO,230,8,-,-,-
MORMANNO,137,7,-,-,-
MOTTAFOLLONE,28,-,-,-,-
NOCARA,23,-,-,-,-
ORIOLO,72,-,-,-,-
ORSOMARSO,49,-,-,-,-
PALUDI,34,-,-,-,-
PANETTIERI,16,-,-,-,-
PAOLA,809,15,-,-,-
PAPASIDERO,11,-,-,-,-
PARENTI,83,-,-,-,-
PATERNO CALABRO,145,-,-,-,-
PEDIVIGLIANO,82,-,-,-,-
PIANE CRATI,85,-,-,-,-
PIETRAFITTA,41,-,-,-,-
PIETRAPAOLA,78,-,-,-,-
PLATACI,32,-,-,-,-
PRAIA A MARE,296,6,-,-,-
RENDE,2781,38,-,-,-
ROCCA IMPERIALE,217,-,-,-,-
ROGGIANO GRAVINA,400,11,-,-,-
ROGLIANO,393,-,-,-,-
ROSE,408,8,-,-,-
ROSETO CAPO SPULICO,117,-,-,-,-
ROTA GRECA,58,-,-,-,-
ROVITO,235,-,-,-,-
SAN BASILE,19,-,-,-,-
SAN BENEDETTO ULLANO,97,-,-,-,-
SAN COSMO ALBANESE,66,6,-,-,-
SAN DEMETRIO CORONE,117,-,-,-,-
SAN DONATO DI NINEA,49,-,-,-,-
SAN FILI,126,-,-,-,-
SAN GIORGIO ALBANESE,58,-,-,-,-
SAN GIOVANNI IN FIORE,1842,30,-,-,-
SAN LORENZO BELLIZZI,6,-,-,-,-
SAN LORENZO DEL VALLO,209,-,-,-,-
SAN LUCIDO,461,6,-,-,-
SAN MARCO ARGENTANO,275,6,-,-,-
SAN MARTINO DI FINITA,79,-,-,-,-
SAN NICOLA ARCELLA,82,-,-,-,-
SAN PIETRO IN AMANTEA,16,-,-,-,-
SAN PIETRO IN GUARANO,212,6,-,-,-
SAN SOSTI,122,6,-,-,-
SAN VINCENZO LA COSTA,89,-,-,-,-
SANGINETO,48,-,-,-,-
SANTA CATERINA ALBANESE,32,-,-,-,-
SANTA DOMENICA TALAO,23,-,-,-,-
SANTA MARIA DEL CEDRO,213,-,-,-,-
SANTA SOFIA D'EPIRO,127,-,-,-,-
SANT'AGATA DI ESARO,89,-,-,-,-
SANTO STEFANO DI ROGLIANO,150,-,-,-,-
SARACENA,85,-,-,-,-
SCALA COELI,27,-,-,-,-
SCALEA,465,-,-,-,-
SCIGLIANO,21,-,-,-,-
SERRA D'AIELLO,43,-,-,-,-
SPEZZANO ALBANESE,471,13,-,-,-
SPEZZANO DELLA SILA,332,12,-,-,-
TARSIA,66,-,-,-,-
TERRANOVA DA SIBARI,494,11,-,-,-
TERRAVECCHIA,9,-,-,-,-
TORANO CASTELLO,429,18,-,-,-
TORTORA,288,-,-,-,-
TREBISACCE,394,10,-,-,-
VACCARIZZO ALBANESE,59,-,-,-,-
VERBICARO,123,-,-,-,-
VILLAPIANA,339,-,-,-,-
ZUMPANO,253,-,-,-,-
