Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,142,-,-,-,-
ACQUAPPESA,178,-,-,-,-
ACRI,2265,28,-,-,-
AIELLO CALABRO,137,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,182,-,-,-,-
ALESSANDRIA DEL CARRETTO,23,-,-,-,-
ALTILIA,116,-,-,-,-
ALTOMONTE,620,-,-,-,-
ALTRA ASP,913,10,-,-,-
ALTRA REGIONE,598,11,-,-,-
AMANTEA,2497,21,-,-,-
AMENDOLARA,213,-,-,-,-
APRIGLIANO,426,10,-,-,-
BELMONTE CALABRO,229,-,-,-,-
BELSITO,170,-,-,-,-
BELVEDERE MARITTIMO,1046,10,-,-,-
BIANCHI,233,-,-,-,-
BISIGNANO,1401,17,-,-,-
BOCCHIGLIERO,119,7,-,-,-
BONIFATI,220,-,-,-,-
BUONVICINO,184,-,-,-,-
CALOPEZZATI,206,-,-,-,-
CALOVETO,205,-,-,-,-
CAMPANA,237,6,-,-,-
CANNA,64,-,-,-,-
CARIATI,806,12,-,-,-
CAROLEI,420,-,-,-,-
CARPANZANO,12,-,-,-,-
CASALI DEL MANCO,1724,20,-,-,-
CASSANO ALLO IONIO,2549,29,-,-,-
CASTIGLIONE COSENTINO,497,-,-,-,-
CASTROLIBERO,1633,14,-,-,-
CASTROREGIO,16,-,-,-,-
CASTROVILLARI,2458,25,-,-,-
CELICO,422,7,-,-,-
CELLARA,84,-,-,-,-
CERCHIARA DI CALABRIA,225,-,-,-,-
CERISANO,472,-,-,-,-
CERVICATI,114,-,-,-,-
CERZETO,222,-,-,-,-
CETRARO,1465,19,-,-,-
CIVITA,42,-,-,-,-
CLETO,115,-,-,-,-
COLOSIMI,183,-,-,-,-
CORIGLIANO-ROSSANO,13741,150,-,-,-
COSENZA,11748,122,-,-,-
CROPALATI,137,-,-,-,-
CROSIA,1463,13,-,-,-
DIAMANTE,330,-,-,-,-
DIPIGNANO,775,8,-,-,-
DOMANICO,173,-,-,-,-
FAGNANO CASTELLO,296,-,-,-,-
FALCONARA ALBANESE,209,-,-,-,-
FIGLINE VEGLIATURO,220,-,-,-,-
FIRMO,170,-,-,-,-
FIUMEFREDDO BRUZIO,468,-,-,-,-
FRANCAVILLA MARITTIMA,365,-,-,-,-
FRASCINETO,259,-,-,-,-
FUSCALDO,1202,8,-,-,-
GRIMALDI,214,-,-,-,-
GRISOLIA,349,-,-,-,-
GUARDIA PIEMONTESE,177,-,-,-,-
LAGO,337,-,-,-,-
LAINO BORGO,244,-,-,-,-
LAINO CASTELLO,117,-,-,-,-
LAPPANO,122,-,-,-,-
LATTARICO,646,6,-,-,-
LONGOBARDI,273,17,-,-,-
LONGOBUCCO,444,-,-,-,-
LUNGRO,219,6,-,-,-
LUZZI,1424,14,-,-,-
MAIERA',103,-,-,-,-
MALITO,81,-,-,-,-
MALVITO,181,6,-,-,-
MANDATORICCIO,415,-,-,-,-
MANGONE,314,-,-,-,-
MARANO MARCHESATO,589,8,-,-,-
MARANO PRINCIPATO,448,-,-,-,-
MARZI,183,-,-,-,-
MENDICINO,1610,6,-,-,-
MONGRASSANO,292,-,-,-,-
MONTALTO UFFUGO,4085,22,-,-,-
MONTEGIORDANO,212,-,-,-,-
MORANO CALABRO,263,9,-,-,-
MORMANNO,193,8,-,-,-
MOTTAFOLLONE,97,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,112,-,-,-,-
ORSOMARSO,154,-,-,-,-
PALUDI,109,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1926,24,-,-,-
PAPASIDERO,29,-,-,-,-
PARENTI,392,-,-,-,-
PATERNO CALABRO,283,-,-,-,-
PEDIVIGLIANO,107,-,-,-,-
PIANE CRATI,244,-,-,-,-
PIETRAFITTA,149,-,-,-,-
PIETRAPAOLA,159,-,-,-,-
PLATACI,65,-,-,-,-
PRAIA A MARE,479,7,-,-,-
RENDE,6767,46,-,-,-
ROCCA IMPERIALE,287,-,-,-,-
ROGGIANO GRAVINA,991,13,-,-,-
ROGLIANO,1023,8,-,-,-
ROSE,718,8,-,-,-
ROSETO CAPO SPULICO,147,-,-,-,-
ROTA GRECA,132,-,-,-,-
ROVITO,373,-,-,-,-
SAN BASILE,73,-,-,-,-
SAN BENEDETTO ULLANO,217,-,-,-,-
SAN COSMO ALBANESE,128,6,-,-,-
SAN DEMETRIO CORONE,302,-,-,-,-
SAN DONATO DI NINEA,143,-,-,-,-
SAN FILI,375,-,-,-,-
SAN GIORGIO ALBANESE,131,-,-,-,-
SAN GIOVANNI IN FIORE,2846,32,-,-,-
SAN LORENZO BELLIZZI,37,-,-,-,-
SAN LORENZO DEL VALLO,306,-,-,-,-
SAN LUCIDO,677,8,-,-,-
SAN MARCO ARGENTANO,1054,7,-,-,-
SAN MARTINO DI FINITA,126,-,-,-,-
SAN NICOLA ARCELLA,190,-,-,-,-
SAN PIETRO IN AMANTEA,50,-,-,-,-
SAN PIETRO IN GUARANO,579,8,-,-,-
SAN SOSTI,230,7,-,-,-
SAN VINCENZO LA COSTA,377,-,-,-,-
SANGINETO,125,-,-,-,-
SANTA CATERINA ALBANESE,75,-,-,-,-
SANTA DOMENICA TALAO,53,-,-,-,-
SANTA MARIA DEL CEDRO,554,-,-,-,-
SANTA SOFIA D'EPIRO,171,7,-,-,-
SANT'AGATA DI ESARO,107,-,-,-,-
SANTO STEFANO DI ROGLIANO,407,-,-,-,-
SARACENA,527,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,1265,8,-,-,-
SCIGLIANO,106,-,-,-,-
SERRA D'AIELLO,88,-,-,-,-
SPEZZANO ALBANESE,861,16,-,-,-
SPEZZANO DELLA SILA,661,13,-,-,-
TARSIA,208,-,-,-,-
TERRANOVA DA SIBARI,814,12,-,-,-
TERRAVECCHIA,44,-,-,-,-
TORANO CASTELLO,670,19,-,-,-
TORTORA,451,7,-,-,-
TREBISACCE,998,11,-,-,-
VACCARIZZO ALBANESE,130,-,-,-,-
VERBICARO,195,6,-,-,-
VILLAPIANA,561,-,-,-,-
ZUMPANO,569,-,-,-,-
