Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,123,-,-,-,-
ACQUAPPESA,159,-,-,-,-
ACRI,2001,27,-,-,-
AIELLO CALABRO,106,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,161,-,-,-,-
ALESSANDRIA DEL CARRETTO,10,-,-,-,-
ALTILIA,98,-,-,-,-
ALTOMONTE,553,-,-,-,-
ALTRA ASP,871,9,-,-,-
ALTRA REGIONE,594,11,-,-,-
AMANTEA,2075,18,-,-,-
AMENDOLARA,177,-,-,-,-
APRIGLIANO,382,9,-,-,-
BELMONTE CALABRO,186,-,-,-,-
BELSITO,115,-,-,-,-
BELVEDERE MARITTIMO,839,10,-,-,-
BIANCHI,184,-,-,-,-
BISIGNANO,1316,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,194,-,-,-,-
BUONVICINO,144,-,-,-,-
CALOPEZZATI,148,-,-,-,-
CALOVETO,185,-,-,-,-
CAMPANA,233,6,-,-,-
CANNA,49,-,-,-,-
CARIATI,706,12,-,-,-
CAROLEI,391,-,-,-,-
CARPANZANO,8,-,-,-,-
CASALI DEL MANCO,1526,19,-,-,-
CASSANO ALLO IONIO,2330,29,-,-,-
CASTIGLIONE COSENTINO,375,-,-,-,-
CASTROLIBERO,1423,13,-,-,-
CASTROREGIO,15,-,-,-,-
CASTROVILLARI,2123,23,-,-,-
CELICO,393,7,-,-,-
CELLARA,58,-,-,-,-
CERCHIARA DI CALABRIA,210,-,-,-,-
CERISANO,414,-,-,-,-
CERVICATI,101,-,-,-,-
CERZETO,198,-,-,-,-
CETRARO,1288,16,-,-,-
CIVITA,40,-,-,-,-
CLETO,109,-,-,-,-
COLOSIMI,166,-,-,-,-
CORIGLIANO-ROSSANO,12353,147,-,-,-
COSENZA,10287,114,-,-,-
CROPALATI,114,-,-,-,-
CROSIA,1351,13,-,-,-
DIAMANTE,286,-,-,-,-
DIPIGNANO,680,8,-,-,-
DOMANICO,164,-,-,-,-
FAGNANO CASTELLO,248,-,-,-,-
FALCONARA ALBANESE,176,-,-,-,-
FIGLINE VEGLIATURO,192,-,-,-,-
FIRMO,137,-,-,-,-
FIUMEFREDDO BRUZIO,385,-,-,-,-
FRANCAVILLA MARITTIMA,338,-,-,-,-
FRASCINETO,201,-,-,-,-
FUSCALDO,1073,8,-,-,-
GRIMALDI,167,-,-,-,-
GRISOLIA,315,-,-,-,-
GUARDIA PIEMONTESE,170,-,-,-,-
LAGO,280,-,-,-,-
LAINO BORGO,192,-,-,-,-
LAINO CASTELLO,81,-,-,-,-
LAPPANO,117,-,-,-,-
LATTARICO,549,-,-,-,-
LONGOBARDI,222,17,-,-,-
LONGOBUCCO,412,-,-,-,-
LUNGRO,183,6,-,-,-
LUZZI,1266,14,-,-,-
MAIERA',86,-,-,-,-
MALITO,76,-,-,-,-
MALVITO,156,-,-,-,-
MANDATORICCIO,361,-,-,-,-
MANGONE,291,-,-,-,-
MARANO MARCHESATO,511,8,-,-,-
MARANO PRINCIPATO,393,-,-,-,-
MARZI,173,-,-,-,-
MENDICINO,1411,-,-,-,-
MONGRASSANO,256,-,-,-,-
MONTALTO UFFUGO,3516,22,-,-,-
MONTEGIORDANO,171,-,-,-,-
MORANO CALABRO,255,9,-,-,-
MORMANNO,181,8,-,-,-
MOTTAFOLLONE,83,-,-,-,-
NOCARA,33,-,-,-,-
ORIOLO,96,-,-,-,-
ORSOMARSO,136,-,-,-,-
PALUDI,92,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1543,23,-,-,-
PAPASIDERO,27,-,-,-,-
PARENTI,338,-,-,-,-
PATERNO CALABRO,240,-,-,-,-
PEDIVIGLIANO,99,-,-,-,-
PIANE CRATI,217,-,-,-,-
PIETRAFITTA,134,-,-,-,-
PIETRAPAOLA,136,-,-,-,-
PLATACI,56,-,-,-,-
PRAIA A MARE,426,7,-,-,-
RENDE,5820,44,-,-,-
ROCCA IMPERIALE,276,-,-,-,-
