Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,22,-,-,-,-
ACQUAPPESA,30,-,-,-,-
ACRI,974,19,-,-,-
AIELLO CALABRO,15,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,48,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,29,-,-,-,-
ALTOMONTE,291,-,-,-,-
ALTRA ASP,117,6,-,-,-
ALTRA REGIONE,262,8,-,-,-
AMANTEA,423,7,-,-,-
AMENDOLARA,32,-,-,-,-
APRIGLIANO,68,8,-,-,-
BELMONTE CALABRO,65,-,-,-,-
BELSITO,33,-,-,-,-
BELVEDERE MARITTIMO,292,-,-,-,-
BIANCHI,39,-,-,-,-
BISIGNANO,668,12,-,-,-
BOCCHIGLIERO,77,6,-,-,-
BONIFATI,43,-,-,-,-
BUONVICINO,45,-,-,-,-
CALOPEZZATI,44,-,-,-,-
CALOVETO,60,-,-,-,-
CAMPANA,199,-,-,-,-
CANNA,-,-,-,-,-
CARIATI,314,8,-,-,-
CAROLEI,80,-,-,-,-
CARPANZANO,-,-,-,-,-
CASALI DEL MANCO,396,14,-,-,-
CASSANO ALLO IONIO,1200,21,-,-,-
CASTIGLIONE COSENTINO,141,-,-,-,-
CASTROLIBERO,363,6,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,847,15,-,-,-
CELICO,200,7,-,-,-
CELLARA,-,-,-,-,-
CERCHIARA DI CALABRIA,59,-,-,-,-
CERISANO,95,-,-,-,-
CERVICATI,49,-,-,-,-
CERZETO,79,-,-,-,-
CETRARO,345,10,-,-,-
CIVITA,22,-,-,-,-
CLETO,32,-,-,-,-
COLOSIMI,34,-,-,-,-
CORIGLIANO-ROSSANO,5430,113,-,-,-
COSENZA,2919,62,-,-,-
CROPALATI,29,-,-,-,-
CROSIA,601,10,-,-,-
DIAMANTE,97,-,-,-,-
DIPIGNANO,173,-,-,-,-
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,83,-,-,-,-
FALCONARA ALBANESE,39,-,-,-,-
FIGLINE VEGLIATURO,43,-,-,-,-
FIRMO,32,-,-,-,-
FIUMEFREDDO BRUZIO,57,-,-,-,-
FRANCAVILLA MARITTIMA,125,-,-,-,-
FRASCINETO,70,-,-,-,-
FUSCALDO,264,-,-,-,-
GRIMALDI,39,-,-,-,-
GRISOLIA,48,-,-,-,-
GUARDIA PIEMONTESE,62,-,-,-,-
LAGO,61,-,-,-,-
LAINO BORGO,82,-,-,-,-
LAINO CASTELLO,17,-,-,-,-
LAPPANO,33,-,-,-,-
LATTARICO,181,-,-,-,-
LONGOBARDI,78,10,-,-,-
LONGOBUCCO,144,-,-,-,-
LUNGRO,68,-,-,-,-
LUZZI,513,9,-,-,-
MAIERA',36,-,-,-,-
MALITO,26,-,-,-,-
MALVITO,57,-,-,-,-
MANDATORICCIO,124,-,-,-,-
MANGONE,104,-,-,-,-
MARANO MARCHESATO,130,6,-,-,-
MARANO PRINCIPATO,130,-,-,-,-
MARZI,51,-,-,-,-
MENDICINO,435,-,-,-,-
MONGRASSANO,78,-,-,-,-
MONTALTO UFFUGO,1027,11,-,-,-
MONTEGIORDANO,36,-,-,-,-
