Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,198,-,-,-,-
ACQUAPPESA,291,-,-,-,-
ACRI,3338,33,-,-,-
AIELLO CALABRO,282,-,-,-,-
AIETA,40,-,-,-,-
ALBIDONA,259,-,-,-,-
ALESSANDRIA DEL CARRETTO,40,-,-,-,-
ALTILIA,176,-,-,-,-
ALTOMONTE,807,-,-,-,-
ALTRA ASP,1031,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3970,24,-,-,-
AMENDOLARA,270,-,-,-,-
APRIGLIANO,540,10,-,-,-
BELMONTE CALABRO,350,-,-,-,-
BELSITO,225,-,-,-,-
BELVEDERE MARITTIMO,1546,10,-,-,-
BIANCHI,298,-,-,-,-
BISIGNANO,1894,19,-,-,-
BOCCHIGLIERO,130,7,-,-,-
BONIFATI,355,7,-,-,-
BUONVICINO,284,-,-,-,-
CALOPEZZATI,422,-,-,-,-
CALOVETO,346,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,111,-,-,-,-
CARIATI,1137,14,-,-,-
CAROLEI,623,-,-,-,-
CARPANZANO,21,-,-,-,-
CASALI DEL MANCO,2404,20,-,-,-
CASSANO ALLO IONIO,3673,30,-,-,-
CASTIGLIONE COSENTINO,797,8,-,-,-
CASTROLIBERO,2255,17,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3708,28,-,-,-
CELICO,483,7,-,-,-
CELLARA,99,-,-,-,-
CERCHIARA DI CALABRIA,427,8,-,-,-
CERISANO,678,-,-,-,-
CERVICATI,155,-,-,-,-
CERZETO,291,-,-,-,-
CETRARO,2100,23,-,-,-
CIVITA,59,-,-,-,-
CLETO,227,-,-,-,-
COLOSIMI,300,-,-,-,-
CORIGLIANO-ROSSANO,20137,162,-,-,-
COSENZA,16403,142,-,-,-
CROPALATI,205,-,-,-,-
CROSIA,2389,16,-,-,-
DIAMANTE,718,-,-,-,-
DIPIGNANO,1070,8,-,-,-
DOMANICO,272,-,-,-,-
